Bin Id;Marker lineage;# genomes;# markers;# marker sets;0;1;2;3;4;5+;Completeness;Contamination;Strain heterogeneity
107_sub.filtered;k__Bacteria (UID203);5449;103;58;91;12;0;0;0;0;19.83;0;0
114_sub.filtered;k__Bacteria (UID1452);924;151;101;74;75;2;0;0;0;37.04;1.49;0
116.filtered;k__Bacteria (UID2495);2993;143;89;20;123;0;0;0;0;78.65;0;0
11_sub.filtered;k__Bacteria (UID2570);433;273;183;12;260;1;0;0;0;94.97;0.55;0
124.filtered;c__Deltaproteobacteria (UID3216);83;247;155;64;183;0;0;0;0;76.9;0;0
135.filtered;k__Bacteria (UID2329);174;149;89;76;72;1;0;0;0;42.79;1.12;0
136.filtered;c__Gammaproteobacteria (UID4201);1164;275;174;6;267;2;0;0;0;97.41;0.38;50
14.filtered;f__Flavobacteriaceae (UID2817);81;511;283;52;446;13;0;0;0;94.54;3.22;53.85
34.filtered;k__Bacteria (UID203);5449;103;57;70;33;0;0;0;0;50.88;0;0
42.filtered;f__Moraxellaceae (UID4680);86;689;365;64;622;3;0;0;0;93.16;0.55;66.67
51.filtered;k__Bacteria (UID203);5449;104;58;77;26;1;0;0;0;38.56;1.72;0
56_sub.filtered;root (UID1);5656;56;24;56;0;0;0;0;0;0;0;0
6087.filtered;k__Bacteria (UID203);5449;104;58;84;20;0;0;0;0;27.59;0;0
6098.filtered;k__Bacteria (UID203);5449;103;57;88;15;0;0;0;0;22.81;0;0
73.filtered;k__Bacteria (UID203);5449;102;56;29;72;1;0;0;0;58.93;1.79;100
92.filtered;k__Bacteria (UID1452);924;151;101;47;104;0;0;0;0;59.87;0;0
93.filtered;k__Bacteria (UID2569);434;278;186;10;263;5;0;0;0;95.16;1.88;0
Metabat2_firsttrial_.12.filtered;k__Bacteria (UID2570);433;273;183;11;262;0;0;0;0;95.93;0;0
Metabat2_firsttrial_.32.filtered;k__Bacteria (UID1452);924;161;108;95;66;0;0;0;0;31.68;0;0
Metabat2_firsttrial_.38.filtered;k__Bacteria (UID1452);924;161;108;87;71;3;0;0;0;49.07;2.78;33.33
Metabat2_firsttrial_.62.filtered;k__Bacteria (UID1452);924;151;101;50;101;0;0;0;0;56.84;0;0
Metabat2_firsttrial_.7.filtered;k__Bacteria (UID2495);2993;143;89;13;130;0;0;0;0;86.52;0;0
Metabat2_firsttrial_.96.filtered;k__Bacteria (UID2570);433;273;183;159;113;1;0;0;0;33.33;0.55;0
Metabat2_secondtrial_.83.filtered;p__Firmicutes (UID1022);100;295;158;40;255;0;0;0;0;86.62;0;0
binsanity_-kmean-bin_18.filtered;k__Bacteria (UID2570);433;270;179;0;263;7;0;0;0;100;3.07;0
binsanity_-kmean-bin_74_sub.filtered;root (UID1);5656;56;24;56;0;0;0;0;0;0;0;0
maxbin.003.filtered;p__Bacteroidetes (UID2605);350;316;210;2;309;5;0;0;0;99.05;1.35;0
maxbin.008.filtered;root (UID1);5656;56;24;56;0;0;0;0;0;0;0;0
maxbin.017.filtered;k__Bacteria (UID2329);174;149;89;41;108;0;0;0;0;60.89;0;0
maxbin.018_sub.filtered;k__Bacteria (UID203);5449;104;58;90;14;0;0;0;0;24.14;0;0
maxbin.045_sub.filtered;root (UID1);5656;56;24;56;0;0;0;0;0;0;0;0
maxbin.046.filtered;k__Bacteria (UID2495);2993;143;89;26;117;0;0;0;0;76.54;0;0
maxbin.061_sub.filtered;k__Archaea (UID2);207;145;103;100;44;1;0;0;0;33.98;0.97;0
maxbin.062_sub.filtered;root (UID1);5656;56;24;56;0;0;0;0;0;0;0;0
maxbin.064_sub.filtered;c__Deltaproteobacteria (UID3216);83;247;155;177;69;1;0;0;0;17.42;0.22;0
