Bin Id;Marker lineage;# genomes;# markers;# marker sets;0;1;2;3;4;5+;Completeness;Contamination;Strain heterogeneity
107_sub.filtered;k__Bacteria (UID3187);2258;181;110;117;64;0;0;0;0;27.88;0;0
114_sub.filtered;k__Bacteria (UID1452);924;151;101;73;76;2;0;0;0;38.03;1.49;0
116.filtered;k__Bacteria (UID2495);2993;143;89;19;124;0;0;0;0;79.21;0;0
11_sub.filtered;k__Bacteria (UID2570);433;273;183;8;264;1;0;0;0;96.34;0.55;0
124.filtered;c__Deltaproteobacteria (UID3216);83;247;155;43;204;0;0;0;0;79.48;0;0
135.filtered;k__Bacteria (UID2329);174;149;89;67;81;1;0;0;0;51.78;1.12;0
136.filtered;c__Gammaproteobacteria (UID4201);1164;275;174;6;267;2;0;0;0;97.41;0.38;50
14.filtered;f__Flavobacteriaceae (UID2817);81;511;283;52;448;11;0;0;0;94.54;2.69;63.64
34.filtered;k__Bacteria (UID203);5449;103;57;68;35;0;0;0;0;54.39;0;0
42.filtered;f__Moraxellaceae (UID4680);86;689;365;45;639;5;0;0;0;95.43;0.75;60
51.filtered;k__Bacteria (UID203);5449;104;58;77;26;1;0;0;0;38.56;1.72;0
56_sub.filtered;root (UID1);5656;56;24;56;0;0;0;0;0;0;0;0
6087.filtered;k__Bacteria (UID203);5449;104;58;84;20;0;0;0;0;27.59;0;0
6098.filtered;k__Bacteria (UID203);5449;103;57;88;15;0;0;0;0;22.81;0;0
73.filtered;k__Bacteria (UID203);5449;102;56;23;78;1;0;0;0;69.64;1.79;100
92.filtered;k__Bacteria (UID1452);924;151;101;45;106;0;0;0;0;61.85;0;0
93.filtered;k__Bacteria (UID2569);434;278;186;10;263;5;0;0;0;95.16;1.88;0
Metabat2_firsttrial_.12.filtered;k__Bacteria (UID2570);433;273;183;7;266;0;0;0;0;96.89;0;0
Metabat2_firsttrial_.32.filtered;k__Bacteria (UID1452);924;161;108;109;52;0;0;0;0;29.6;0;0
Metabat2_firsttrial_.38.filtered;k__Bacteria (UID1452);924;161;108;83;75;3;0;0;0;51.85;2.78;33.33
Metabat2_firsttrial_.62.filtered;k__Bacteria (UID1452);924;151;101;50;101;0;0;0;0;56.84;0;0
Metabat2_firsttrial_.7.filtered;k__Bacteria (UID2495);2993;143;89;13;130;0;0;0;0;86.52;0;0
Metabat2_firsttrial_.96.filtered;k__Bacteria (UID2570);433;273;183;159;113;1;0;0;0;33.33;0.55;0
Metabat2_secondtrial_.83.filtered;p__Firmicutes (UID1022);100;295;158;40;255;0;0;0;0;86.62;0;0
binsanity_-kmean-bin_18.filtered;k__Bacteria (UID2570);433;270;179;0;263;7;0;0;0;100;3.07;0
maxbin.003.filtered;p__Bacteroidetes (UID2605);350;316;210;2;309;5;0;0;0;99.05;1.35;0
maxbin.008.filtered;root (UID1);5656;56;24;56;0;0;0;0;0;0;0;0
maxbin.017.filtered;k__Bacteria (UID2495);2993;143;89;21;122;0;0;0;0;79.03;0;0
maxbin.018_sub.filtered;c__Deltaproteobacteria (UID3216);83;247;155;109;131;7;0;0;0;47.88;3.87;0
maxbin.045_sub.filtered;root (UID1);5656;56;24;56;0;0;0;0;0;0;0;0
maxbin.046.filtered;k__Bacteria (UID2495);2993;143;89;26;117;0;0;0;0;76.54;0;0
maxbin.061_sub.filtered;k__Archaea (UID2);207;145;103;101;43;1;0;0;0;31.07;0.97;0
maxbin.062_sub.filtered;root (UID1);5656;56;24;56;0;0;0;0;0;0;0;0
maxbin.064_sub.filtered;c__Deltaproteobacteria (UID3216);83;247;155;157;87;3;0;0;0;28.39;0.86;0
