;Genome;MAG;Domain;Phylum;Class;Order;Family;Genera;Species;Taxonomy;ID;Completeness_before;Completeness_after;Contamination.before;Contamination_after;score.before;score.after;Bin.Tool;Inicial.MiMAG.Quality;Final.MiMAG.Quality
2;11_sub;MAG02;Bacteria;Bacteroidota;Kapabacteria;Kapabacteriales;XYC2-FULL-35-21;;;Kapabacteriales;MAG02_Kapabacteriales;96.89;96.34;0.55;0.55;94.14;93.59;CONCOCT;High-Quality;High-Quality
5;124;MAG05;Bacteria;Desulfuromonadota;Desulfuromonadia;Geobacterales;Geobacteraceae;;;Geobacteraceae;MAG05_Geobacteraceae;100;79.48;2.26;0;88.7;79.48;CONCOCT;High-Quality;Medium-Quality
7;136;MAG07;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Moraxella_A;Moraxella_A aerosaccus;Moraxella_A aerosaccus;MAG07_Moraxella_A aerosaccus;99.14;97.41;0.38;0.38;97.24;95.51;CONCOCT;High-Quality;High-Quality
8;14;MAG08;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;;Flavobacterium;MAG08_Flavobacterium;98.37;94.54;3.69;2.69;79.92;81.09;CONCOCT;High-Quality;High-Quality
10;42;MAG10;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;Acinetobacter radioresistens;Acinetobacter radioresistens;MAG10_Acinetobacter radioresistens;96.97;95.43;1.85;0.75;87.72;91.68;CONCOCT;High-Quality;High-Quality
17;93;MAG17;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;CG2-30-32-10;;;Bacteroidales;MAG17_Bacteroidales;97.85;95.16;2.42;1.88;85.75;85.76;CONCOCT;High-Quality;High-Quality
18;binsanity_-kmean-bin_18;MAG18;Bacteria;Bacteroidota;Ignavibacteria;Ignavibacteriales;Melioribacteraceae;XYB12-FULL-38-5;;Melioribacteraceae;MAG18_Melioribacteraceae;100;100;3.07;3.07;84.65;84.65;Binsanity;High-Quality;High-Quality
19;maxbin.003;MAG19;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;BBW3;UBA8529;;Bacteroidales;MAG19_Bacteroidales;99.05;99.05;1.35;1.35;92.3;92.3;MaxBin;High-Quality;High-Quality
28;Metabat2_firsttrial_.12;MAG28;Bacteria;Bacteroidota;Kapabacteria;Kapabacteriales;XYC2-FULL-35-21;;;Kapabacteriales;MAG28_Kapabacteriales;96.89;96.89;0.55;0;94.14;96.89;Meatabat2;High-Quality;High-Quality
1;107_sub;MAG01;Bacteria;Dependentiae;Babeliae;Babeliales;Vermiphilaceae;;;Vermiphilaceae;MAG01_Vermiphilaceae;49.18;27.88;11.71;0;-9.37;27.88;CONCOCT;Low-Quality;Low-Quality
12;56_sub;MAG12;Bacteria;Patescibacteria;Microgenomatia;GWA2-44-7;UBA8517;UBA8517;;Microgenomatia;MAG12_Microgenomatia;70.3;0;27.56;0;-67.5;0;CONCOCT;Low-Quality;Low-Quality
20;maxbin.008;MAG20;Bacteria;UBP7;;;;;;UBP7;MAG20_UBP7;55.32;0;14.15;0;-15.43;0;MaxBin;Low-Quality;Low-Quality
23;maxbin.045_sub;MAG23;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;Acinetobacter johnsonii;Acinetobacter johnsonii;MAG23_Acinetobacter johnsonii;87.07;0;17.26;0;0.77;0;MaxBin;Low-Quality;Low-Quality
25;maxbin.061_sub;MAG25;Archaea;Crenarchaeota;Nitrososphaeria;Nitrososphaerales;Nitrosopumilaceae;Nitrosotenuis;Nitrosotenuis cloacae;Nitrosotenuis cloacae;MAG25_Nitrosotenuis cloacae;100;31.07;12.46;0.97;37.7;26.22;MaxBin;Low-Quality;Low-Quality
26;maxbin.062_sub;MAG26;Bacteria;Desulfuromonadota;Desulfuromonadia;Geobacterales;Geobacteraceae;DSM-9736;;Geobacteraceae;MAG26_Geobacteraceae;65.28;0;26.16;0;-65.52;0;MaxBin;Low-Quality;Low-Quality
27;maxbin.064_sub;MAG27;Bacteria;Desulfuromonadota;Desulfuromonadia;Geobacterales;Geobacteraceae;Geobacter;;Geobacter;MAG27_Geobacter;39.35;28.39;7.96;0.86;-0.45;24.09;MaxBin;Low-Quality;Low-Quality
29;Metabat2_firsttrial_.32;MAG29;Bacteria;Patescibacteria;Paceibacteria;Paceibacterales;2-12-FULL-40-12;;;Paceibacterales;MAG29_Paceibacterales;34.46;29.6;0;0;34.46;29.6;Meatabat2;Low-Quality;Low-Quality
33;Metabat2_firsttrial_.96;MAG33;Bacteria;Bacteroidota;Ignavibacteria;SJA-28;B-1AR;;;Ignavibacteria;MAG33_Ignavibacteria;33.33;33.33;0.55;0.55;30.58;30.58;Meatabat2;Low-Quality;Low-Quality
3;114_sub;MAG03;Bacteria;Patescibacteria;Microgenomatia;GWA2-44-7;UBA8517;UBA8517;;Microgenomatia;MAG03_Microgenomatia;56.84;38.03;5.45;1.49;29.59;30.58;CONCOCT;Medium-Quality;Low-Quality
4;116;MAG04;Bacteria;Dependentiae;Babeliae;Babeliales;Babeliaceae;;;Babeliaceae;MAG04_Babeliaceae;80.27;79.21;0;0;80.27;79.21;CONCOCT;Medium-Quality;Medium-Quality
6;135;MAG06;Bacteria;Patescibacteria;Paceibacteria;UBA9983_A;UBA5272;UBA11704;;Paceibacteria;MAG06_Paceibacteria;56.87;51.78;6.37;1.12;25.02;46.18;CONCOCT;Medium-Quality;Medium-Quality
9;34;MAG09;Bacteria;Firmicutes_B;Desulfotomaculia;Desulfotomaculales;Pelotomaculaceae;;;Pelotomaculaceae;MAG09_Pelotomaculaceae;96.2;54.39;9.65;0;47.95;54.39;CONCOCT;Medium-Quality;Medium-Quality
11;51;MAG11;Bacteria;Firmicutes_B;Thermincolia;Thermincolales;UBA2595;GW-Firmicutes-8;;Thermincolales;MAG11_Thermincolales;91.72;38.56;8.21;1.72;50.67;29.96;CONCOCT;Medium-Quality;Low-Quality
13;6087;MAG13;Bacteria;Bacteroidota;Ignavibacteria;Ignavibacteriales;Melioribacteraceae;;;Melioribacteraceae;MAG13_Melioribacteraceae;61.6;27.59;9.59;0;13.65;27.59;Vamb;Medium-Quality;Low-Quality
14;6098;MAG14;Bacteria;Desulfuromonadota;Desulfuromonadia;Geobacterales;Geobacteraceae;Geobacter;Geobacter metallireducens;Geobacter metallireducens;MAG14_Geobacter metallireducens;56.33;22.81;2.9;0;41.83;22.81;Vamb;Medium-Quality;Low-Quality
