Bin	Marker lineage	# genomes	# markers	# marker sets	0	1	2	3	4	5+	Completeness	Contamination	Strain heterogeneity	Tool
0	k__Bacteria (UID1453)	901	171	117	142	26	3	0	0	0	9.49	0.39	0	BinSanity
1	k__Bacteria (UID203)	5449	103	57	68	27	8	0	0	0	52.98	12.63	87.5	BinSanity
10	c__Deltaproteobacteria (UID3216)	83	247	155	105	134	8	0	0	0	63.17	2.58	0	BinSanity
100	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	BinSanity
101	p__Bacteroidetes (UID2605)	350	316	210	2	309	5	0	0	0	99.05	1.35	0	BinSanity
102	k__Bacteria (UID203)	5449	100	55	70	23	7	0	0	0	34.88	9.09	0	BinSanity
103	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	BinSanity
104	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	BinSanity
105	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	BinSanity
106	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	BinSanity
107	k__Bacteria (UID3060)	138	338	246	147	160	25	4	2	0	49.18	11.71	2.04	BinSanity
108	k__Archaea (UID2)	207	145	103	0	82	59	4	0	0	100	48.71	43.66	BinSanity
109	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	BinSanity
11	root (UID1)	5656	56	24	0	0	56	0	0	0	100	100	16.07	BinSanity
110	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	BinSanity
111	k__Bacteria (UID203)	5449	103	57	86	17	0	0	0	0	18.5	0	0	BinSanity
112	k__Bacteria (UID2495)	2993	147	91	37	107	3	0	0	0	89.01	3.3	33.33	BinSanity
113	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	BinSanity
114	k__Bacteria (UID203)	5449	100	55	4	18	73	5	0	0	92.73	76.17	0	BinSanity
115	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	BinSanity
116	k__Bacteria (UID2495)	2993	143	89	19	124	0	0	0	0	80.27	0	0	BinSanity
117	f__Enterobacteriaceae (UID5124)	134	1173	336	1026	125	16	5	1	0	7.4	1.48	16.22	BinSanity
